country,model,scenario_id (Unique ID from NormAd dataset),"domain (etiquette, eating, visiting etc)",language,"context_type (NONE = no context, COUNTRY = country only, VALUES = country+values, RULES = country+rules-of-thumb)","conflict_type (NONE = no conflict, WRONG_RULES = correct country + incorrect rules, WRONG_COUNTRY = incorrect country + correct rules, MADE_UP = non-existent country)",prediction (Aggregated over 5 runs),num_agree (how many out of 5 runs agree with the final prediction listed here),gold_label,accuracy (Aggregated over 5 runs),avg_confidence (logprobs - use cohere API for this),condition_group_id (use this column to group scenario_id + model + context_type + conflict_type --> will be helpful for calculating flip rate),reasoning_trace_avg_len,parse_rate,notes
India,Global,,,EN,COUNTRY,NONE,,,,,,,,,
India,Global,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
India,Global,,,LOCAL,COUNTRY,NONE,,,,,,,,,
India,Global,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
India,Global,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
India,Global,,,EN,NONE,NONE,,,,,,,,,
India,Global,,,EN,VALUES,NONE,,,,,,,,,
India,Global,,,EN,RULES,NONE,,,,,,,,,
India,Global,,,EN,COUNTRY,MADE_UP,,,,,,,,,
India,Global,,,EN,RULES,WRONG_RULES,,,,,,,,,
India,Global,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
India,Fire,,,EN,COUNTRY,NONE,,,,,,,,,
India,Fire,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
India,Fire,,,LOCAL,COUNTRY,NONE,,,,,,,,,
India,Fire,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
India,Fire,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
India,Fire,,,EN,NONE,NONE,,,,,,,,,
India,Fire,,,EN,VALUES,NONE,,,,,,,,,
India,Fire,,,EN,RULES,NONE,,,,,,,,,
India,Fire,,,EN,COUNTRY,MADE_UP,,,,,,,,,
India,Fire,,,EN,RULES,WRONG_RULES,,,,,,,,,
India,Fire,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
India,Command-a,,,EN,COUNTRY,NONE,,,,,,,,,
India,Command-a,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
India,Command-a,,,LOCAL,COUNTRY,NONE,,,,,,,,,
India,Command-a,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
India,Command-a,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
India,Command-a,,,EN,NONE,NONE,,,,,,,,,
India,Command-a,,,EN,VALUES,NONE,,,,,,,,,
India,Command-a,,,EN,RULES,NONE,,,,,,,,,
India,Command-a,,,EN,COUNTRY,MADE_UP,,,,,,,,,
India,Command-a,,,EN,RULES,WRONG_RULES,,,,,,,,,
India,Command-a,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
India,Command-a-Reasoning,,,EN,COUNTRY,NONE,,,,,,,,,
India,Command-a-Reasoning,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
India,Command-a-Reasoning,,,LOCAL,COUNTRY,NONE,,,,,,,,,
India,Command-a-Reasoning,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
India,Command-a-Reasoning,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
India,Command-a-Reasoning,,,EN,NONE,NONE,,,,,,,,,
India,Command-a-Reasoning,,,EN,VALUES,NONE,,,,,,,,,
India,Command-a-Reasoning,,,EN,RULES,NONE,,,,,,,,,
India,Command-a-Reasoning,,,EN,COUNTRY,MADE_UP,,,,,,,,,
India,Command-a-Reasoning,,,EN,RULES,WRONG_RULES,,,,,,,,,
India,Command-a-Reasoning,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
