country,model,scenario_id (Unique ID from NormAd dataset),"domain (etiquette, eating, visiting etc)",language,"context_type (NONE = no context, COUNTRY = country only, VALUES = country+values, RULES = country+rules-of-thumb)","conflict_type (NONE = no conflict, WRONG_RULES = correct country + incorrect rules, WRONG_COUNTRY = incorrect country + correct rules, MADE_UP = non-existent country)",prediction (Aggregated over 5 runs),num_agree (how many out of 5 runs agree with the final prediction listed here),gold_label,accuracy (Aggregated over 5 runs),avg_confidence (logprobs - use cohere API for this),condition_group_id (use this column to group scenario_id + model + context_type + conflict_type --> will be helpful for calculating flip rate),reasoning_trace_avg_len,parse_rate,notes
India,Command-a,761,basic_etiquette,EN,COUNTRY,MADE_UP,no,5.0,yes,0.0,,761__Command-a__COUNTRY__MADE_UP,,1.0,"config_signature=ab1c1efd950d ; made_up_country=Zoravia; translation_country=India ; parse_rate=1.0 ; run_labels=no,no,no,no,no ; run_logprob_confidences=,,,, ; raw_outputs=Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of hands for passing items, it is not possible to determine if Emma's action is socially acceptable. \n\nAnswer: 3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of hands for passing items, we cannot determine if Emma's action is socially acceptable or not. \n\nAnswer: 3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of hands to pass items, it is not possible to determine if Emma's action is socially acceptable. \n\nAnswer: 3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of hands for passing items, it is not possible to determine if Emma's action is socially acceptable. \n\nAnswer: 3) Neither || Since there is no information provided about the cultural norms or social etiquette in Zoravia regarding the use of hands to pass items at a dinner party, it is not possible to determine if Emma's action is socially acceptable. \n\nAnswer: 3) Neither"
India,Command-a,761,basic_etiquette,EN,COUNTRY,NONE,yes,5.0,yes,1.0,,761__Command-a__COUNTRY__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, giving, and receiving. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is generally avoided for such actions. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, giving, and receiving. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, giving, and receiving. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, greeting, and passing objects. Emma's action of using her right hand to pass the salt to Alex aligns with these cultural norms.\n\nAnswer: **Yes**"
India,Command-a,761,basic_etiquette,EN,NONE,NONE,yes,5.0,yes,1.0,,761__Command-a__NONE__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=1) Yes \n\nExplanation: Using the right hand to pass something to someone is generally considered polite and socially acceptable in many cultures. Emma's action shows mindfulness and respect for social norms, making her behavior socially acceptable in this context. || 1) Yes \n\nIn many cultures, it is considered polite and socially acceptable to use your right hand when passing or receiving items, especially in formal or social settings like a dinner party. Emma's action aligns with this social norm, making it a socially acceptable behavior. || 1) Yes \n\nIn many cultures, using the right hand to pass or receive items is considered polite and socially acceptable. Emma's action of using her right hand to pass the salt to Alex aligns with this social norm, making her behavior socially acceptable in this context. || 1) Yes \n\nIn many cultures, using the right hand to pass or receive items is considered polite and socially acceptable. Emma's action of using her right hand to pass the salt to Alex aligns with this social norm, making her behavior socially acceptable in this context. || 1) Yes \n\nExplanation: Using the right hand to pass something to someone is generally considered polite and socially acceptable in many cultures. Emma's action shows mindfulness and respect for social norms, making her behavior socially acceptable in this context."
India,Command-a,761,basic_etiquette,EN,RULES,NONE,yes,5.0,yes,1.0,,761__Command-a__RULES__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes**"
India,Command-a,761,basic_etiquette,EN,RULES,WRONG_COUNTRY,yes,5.0,yes,1.0,,761__Command-a__RULES__WRONG_COUNTRY,,1.0,"config_signature=ab1c1efd950d ; wrong_country=Japan; translation_country=India ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule-of-thumb.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes** || According to the given rule-of-thumb, objects should be passed using the right hand or both hands to show respect. In the story, Emma used her right hand to pass the salt to Alex, which aligns with the rule. Therefore, Emma's action is socially acceptable under the given rule.\n\nAnswer: **Yes**"
India,Command-a,761,basic_etiquette,EN,RULES,WRONG_RULES,neutral,5.0,yes,0.0,,761__Command-a__RULES__WRONG_RULES,,1.0,"config_signature=ab1c1efd950d ; wrong_rules_from=Japan; translation_country=India ; parse_rate=1.0 ; run_labels=neutral,neutral,neutral,neutral,neutral ; run_logprob_confidences=,,,, ; raw_outputs=The rule-of-thumb provided is about punctuality and communication regarding delays. The story, however, describes Emma passing the salt to Alex at a dinner party, focusing on her mindfulness in using her right hand. This action is unrelated to the rule about arriving on time or informing about delays. Therefore, the rule does not apply to the situation described in the story.\n\nAnswer: **Neither** || The rule-of-thumb provided is about punctuality and communication regarding delays. The story, however, is about Emma passing the salt to Alex at a dinner party, which is unrelated to the rule about being on time or informing about delays. Since the action described in the story does not involve punctuality or communication about delays, the rule-of-thumb does not apply to this situation.\n\nAnswer: **Neither** || The rule-of-thumb provided is about punctuality and communication regarding delays. The story, however, is about Emma passing the salt to Alex at a dinner party, which is unrelated to the rule about being on time or informing about delays. Since the action described in the story does not involve punctuality or communication about delays, the rule-of-thumb does not apply to this situation.\n\nAnswer: **Neither** || The rule-of-thumb provided is about punctuality and communication regarding delays. The story, however, is about Emma passing the salt to Alex at a dinner party, which is unrelated to the rule about being on time or informing about delays. Since the action described in the story does not involve punctuality or communication about delays, the rule-of-thumb does not apply to this situation.\n\nAnswer: **Neither** || The rule-of-thumb provided is about punctuality and communication regarding delays. The story, however, describes Emma passing the salt to Alex at a dinner party, which is unrelated to the rule about being on time or informing about delays. Since the action of passing the salt does not involve punctuality or delay communication, the rule-of-thumb does not apply to this situation.\n\nAnswer: **Neither**"
India,Command-a,761,basic_etiquette,EN,VALUES,NONE,yes,5.0,yes,1.0,,761__Command-a__VALUES__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In India, the rule-of-thumb emphasizes respect and mindfulness in interactions, including honoring personal and communal space. Using the right hand to pass an object is culturally significant in India, as the left hand is traditionally considered unclean and using it for such actions can be seen as disrespectful. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm, demonstrating mindfulness and respect. Therefore, her action is socially acceptable.\n\nAnswer: **Yes** || In India, the rule-of-thumb emphasizes respect and mindfulness in interactions, including honoring personal and communal space. Using the right hand to pass an object is culturally appropriate in India, as the left hand is traditionally considered unclean in many social contexts. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm, demonstrating mindfulness and respect. Therefore, her action is socially acceptable.\n\nAnswer: **Yes** || In India, the rule-of-thumb emphasizes respect and mindfulness in interactions, including honoring personal and communal space. Using the right hand to pass an object is culturally significant in India, as the left hand is traditionally considered unclean and using it for such actions can be seen as disrespectful. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm, demonstrating mindfulness and respect. Therefore, her action is socially acceptable.\n\nAnswer: **Yes** || In India, the rule-of-thumb emphasizes respect and mindfulness in interactions, including honoring personal and communal space. Using the right hand to pass items is culturally significant in India, as the left hand is traditionally considered unclean. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm, demonstrating mindfulness and respect. Therefore, her action is socially acceptable.\n\nAnswer: **Yes** || In India, the rule-of-thumb emphasizes respect and mindfulness in interactions, including honoring personal and communal space. Using the right hand to pass an object is culturally significant in India, as the left hand is traditionally considered unclean and using it for such actions can be seen as disrespectful. Emma's action of using her right hand to pass the salt to Alex aligns with this cultural norm, demonstrating mindfulness and respect. Therefore, her action is socially acceptable.\n\nAnswer: **Yes**"
India,Command-a,761,basic_etiquette,EN_PARA,COUNTRY,NONE,yes,5.0,yes,1.0,,761__Command-a__COUNTRY__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India; paraphrased_story=English ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In India, using the right hand to offer or receive items, especially during meals, is considered socially appropriate and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, giving, and receiving. Emma's action of using her right hand to offer the salt to Alex aligns with this cultural norm.\n\nAnswer: **Yes** || In India, using the right hand to offer or receive items, especially during meals, is considered socially appropriate and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, giving, and receiving. Emma's action of using her right hand to offer the salt to Alex aligns with this cultural norm.\n\nAnswer: **Yes** || In India, using the right hand to offer or receive items, especially during meals, is considered socially appropriate and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, so using the right hand for passing or receiving objects is a common cultural practice. Therefore, Emma’s action of using her right hand to offer the salt to Alex is socially acceptable in India.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially appropriate and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, while the right hand is used for eating, greeting, and handing objects. Emma's action of using her right hand to offer the salt to Alex aligns with these cultural norms.\n\nAnswer: **Yes** || In India, using the right hand to offer or receive items, especially during meals, is considered socially appropriate and respectful. The left hand is traditionally associated with cleanliness and is often used for tasks like washing, so using the right hand for passing or receiving objects, including salt, aligns with cultural norms. Therefore, Emma’s action of using her right hand to offer the salt to Alex is socially acceptable in India.\n\nAnswer: **Yes**"
India,Command-a,761,basic_etiquette,LOCAL,COUNTRY,NONE,yes,5.0,yes,1.0,,761__Command-a__COUNTRY__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India; translated_story=Hindi ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is not used for such purposes. Since Emma used her right hand to pass the salt to Alex, her action aligns with social norms in India.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is not used for such purposes. Since Emma used her right hand to pass the salt to Alex, her action aligns with social norms in India.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with cleanliness and is not used for such purposes. Since Emma used her right hand to pass the salt to Alex, her action aligns with social norms in India.\n\nAnswer: **Yes** || In India, using the right hand for passing or receiving items, especially during meals, is considered socially acceptable and respectful. The left hand is traditionally associated with hygiene-related tasks and is not used for giving or receiving food items. Emma's action of using her right hand to pass the salt aligns with this cultural norm. Therefore, her behavior is socially acceptable in India.\n\nAnswer: **Yes** || In India, it is generally considered more polite and socially acceptable to use the right hand for giving or receiving items, including food items like salt. The left hand is traditionally associated with cleanliness and is often used for tasks like washing or cleaning, so using it for giving or receiving food can be seen as impolite. Since Emma used her right hand to pass the salt to Alex, her action aligns with social norms in India.\n\nAnswer: **Yes**"
India,Command-a,761,basic_etiquette,LOCAL_PARA,COUNTRY,NONE,yes,5.0,yes,1.0,,761__Command-a__COUNTRY__NONE,,1.0,"config_signature=ab1c1efd950d ; translation_country=India; paraphrased_story=Hindi ; parse_rate=1.0 ; run_labels=yes,yes,yes,yes,yes ; run_logprob_confidences=,,,, ; raw_outputs=In India, it is generally considered socially acceptable to use the right hand for passing or sharing items, including during meals. The left hand is traditionally associated with hygiene-related activities and is not used for giving or receiving objects, especially food-related items. Emma's action of using her right hand to pass the salt is in line with these cultural norms. Therefore, her behavior would be considered socially acceptable.\n\nAnswer: **Yes** || In India, it is generally considered socially acceptable to use the right hand for giving or receiving objects, especially during meals. The left hand is traditionally associated with cleanliness and is often avoided for such actions. Since Emma used her right hand to pass the salt, her behavior aligns with social norms in India.\n\nAnswer: **Yes** || In India, it is generally considered polite and socially acceptable to use the right hand for giving or receiving objects, especially during meals. The left hand is traditionally associated with cleanliness and is not used for such purposes. Emma's action of carefully passing the salt with her right hand aligns with these cultural norms. Therefore, her behavior would be considered socially acceptable in India.\n\nAnswer: **Yes** || In India, it is generally considered polite and socially acceptable to use the right hand for giving or receiving objects, especially during meals. The left hand is traditionally associated with cleanliness and is not used for such purposes. Emma's action of carefully passing the salt with her right hand aligns with these cultural norms. Therefore, her behavior would be considered socially acceptable in India.\n\nAnswer: **Yes** || In India, it is generally considered polite and socially acceptable to use the right hand for giving or receiving objects, especially during meals. This is because the left hand is traditionally associated with cleanliness and is often used for tasks like washing. Emma's action of carefully passing the salt with her right hand aligns with these cultural norms. Therefore, her behavior would be considered socially acceptable in India.\n\nAnswer: **Yes**"
