country,model,scenario_id (Unique ID from NormAd dataset),"domain (etiquette, eating, visiting etc)",language,"context_type (NONE = no context, COUNTRY = country only, VALUES = country+values, RULES = country+rules-of-thumb)","conflict_type (NONE = no conflict, WRONG_RULES = correct country + incorrect rules, WRONG_COUNTRY = incorrect country + correct rules, MADE_UP = non-existent country)",prediction (Aggregated over 5 runs),num_agree (how many out of 5 runs agree with the final prediction listed here),gold_label,accuracy (Aggregated over 5 runs),avg_confidence (logprobs - use cohere API for this),condition_group_id (use this column to group scenario_id + model + context_type + conflict_type --> will be helpful for calculating flip rate),reasoning_trace_avg_len,parse_rate,notes
Turkey,Global,,,EN,COUNTRY,NONE,,,,,,,,,
Turkey,Global,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Global,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Turkey,Global,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Global,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Turkey,Global,,,EN,NONE,NONE,,,,,,,,,
Turkey,Global,,,EN,VALUES,NONE,,,,,,,,,
Turkey,Global,,,EN,RULES,NONE,,,,,,,,,
Turkey,Global,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Turkey,Global,,,EN,RULES,WRONG_RULES,,,,,,,,,
Turkey,Global,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
Turkey,Earth,,,EN,COUNTRY,NONE,,,,,,,,,
Turkey,Earth,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Earth,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Turkey,Earth,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Earth,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Turkey,Earth,,,EN,NONE,NONE,,,,,,,,,
Turkey,Earth,,,EN,VALUES,NONE,,,,,,,,,
Turkey,Earth,,,EN,RULES,NONE,,,,,,,,,
Turkey,Earth,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Turkey,Earth,,,EN,RULES,WRONG_RULES,,,,,,,,,
Turkey,Earth,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
Turkey,Command-a,,,EN,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a,,,EN,NONE,NONE,,,,,,,,,
Turkey,Command-a,,,EN,VALUES,NONE,,,,,,,,,
Turkey,Command-a,,,EN,RULES,NONE,,,,,,,,,
Turkey,Command-a,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Turkey,Command-a,,,EN,RULES,WRONG_RULES,,,,,,,,,
Turkey,Command-a,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,NONE,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,VALUES,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,RULES,NONE,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,RULES,WRONG_RULES,,,,,,,,,
Turkey,Command-a-Reasoning,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
