country,model,scenario_id (Unique ID from NormAd dataset),"domain (etiquette, eating, visiting etc)",language,"context_type (NONE = no context, COUNTRY = country only, VALUES = country+values, RULES = country+rules-of-thumb)","conflict_type (NONE = no conflict, WRONG_RULES = correct country + incorrect rules, WRONG_COUNTRY = incorrect country + correct rules, MADE_UP = non-existent country)",prediction (Aggregated over 5 runs),num_agree (how many out of 5 runs agree with the final prediction listed here),gold_label,accuracy (Aggregated over 5 runs),avg_confidence (logprobs - use cohere API for this),condition_group_id (use this column to group scenario_id + model + context_type + conflict_type --> will be helpful for calculating flip rate),reasoning_trace_avg_len,parse_rate,notes
Vietnam,Global,,,EN,COUNTRY,NONE,,,,,,,,,
Vietnam,Global,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Global,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Vietnam,Global,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Global,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Vietnam,Global,,,EN,NONE,NONE,,,,,,,,,
Vietnam,Global,,,EN,VALUES,NONE,,,,,,,,,
Vietnam,Global,,,EN,RULES,NONE,,,,,,,,,
Vietnam,Global,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Vietnam,Global,,,EN,RULES,WRONG_RULES,,,,,,,,,
Vietnam,Global,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
Vietnam,Water,,,EN,COUNTRY,NONE,,,,,,,,,
Vietnam,Water,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Water,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Vietnam,Water,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Water,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Vietnam,Water,,,EN,NONE,NONE,,,,,,,,,
Vietnam,Water,,,EN,VALUES,NONE,,,,,,,,,
Vietnam,Water,,,EN,RULES,NONE,,,,,,,,,
Vietnam,Water,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Vietnam,Water,,,EN,RULES,WRONG_RULES,,,,,,,,,
Vietnam,Water,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
Vietnam,Command-a,,,EN,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a,,,EN,NONE,NONE,,,,,,,,,
Vietnam,Command-a,,,EN,VALUES,NONE,,,,,,,,,
Vietnam,Command-a,,,EN,RULES,NONE,,,,,,,,,
Vietnam,Command-a,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Vietnam,Command-a,,,EN,RULES,WRONG_RULES,,,,,,,,,
Vietnam,Command-a,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,LOCAL,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,LOCAL_PARA,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,MISMATCH,COUNTRY,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,NONE,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,VALUES,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,RULES,NONE,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,COUNTRY,MADE_UP,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,RULES,WRONG_RULES,,,,,,,,,
Vietnam,Command-a-Reasoning,,,EN,RULES,WRONG_COUNTRY,,,,,,,,,
